|-----|--------------------------------------------------------|
| ID  |  REGRA                                                 |
|-----|--------------------------------------------------------|
|  1  |  Program -> FunctionList                               |
|-----|--------------------------------------------------------|
|  2  |  FunctionList  ->  Function FunctionList               |                                    
|-----|--------------------------------------------------------| 
|  3  |  FunctionList  ->  Function                            |                                    
|-----|--------------------------------------------------------| 
|  4  |  Function ->  Type identifier ( ArgList ) CompoundStmt |  
|-----|--------------------------------------------------------|
|  5  |  ArgList  -> Arg ArgListLinha                          |
|-----|--------------------------------------------------------|
|  6  | ArgList -> ε                                           | 
|-----|--------------------------------------------------------|
|  7  | ArgListLinha ->  , Arg ArgListLinha                    |               
|-----|--------------------------------------------------------|
|  8  | ArgListLinha -> ε                                      |
|-----|--------------------------------------------------------|
|  9  | Arg ->  Type identifier                                |
|-----|--------------------------------------------------------|
|  10 | Declaration ->  Type IdentList ;                       |
|-----|--------------------------------------------------------|
|  11 |  Type ->  int                                          |
|-----|--------------------------------------------------------| 
|  12 | Type -> float                                          |
|-----|--------------------------------------------------------|
|  13 | Type -> char                                           |
|-----|--------------------------------------------------------|
|  14 | IdentList ->  identifier , IdentList                   |               
|-----|--------------------------------------------------------|
|  15 | IdentList ->  identifier                               |
|-----|--------------------------------------------------------|
|  16 | IdentListLinha ->  identifier , IdentListLinha         |               
|-----|--------------------------------------------------------|
|  17 | IdentListLinha ->  identifier                          |     
|-----|--------------------------------------------------------|
|  18 | IdentListLinha ->  ε                                   |
|-----|--------------------------------------------------------|
|  19 | Stmt -> ForStmt                                        |
|-----|--------------------------------------------------------|
|  20 | Stmt -> ForStmt                                        |
|-----|--------------------------------------------------------|
|  21 | Stmt -> WhileStmt                                      |
|-----|--------------------------------------------------------|
|  22 | Stmt -> Expr ;                                         |
|-----|--------------------------------------------------------|
|  23 | Stmt -> IfStmt                                         |
|-----|--------------------------------------------------------|
|  24 | Stmt -> CompoundStmt                                   |
|-----|--------------------------------------------------------|
|  25 | Stmt -> Declaration                                    |
|-----|--------------------------------------------------------|
|  26 | Stmt -> ;                                              |
|-----|--------------------------------------------------------|
|  27 | ForStmt ->  for ( Expr ; OptExpr ; OptExpr ) Stmt      |
|-----|--------------------------------------------------------|
|  28 | OptExpr ->  Expr                                       |
|-----|--------------------------------------------------------|
|  29 | OptExpr ->  ε                                          |
|-----|--------------------------------------------------------|
|  30 | WhileStmt ->  while ( Expr ) Stmt                      |
|-----|--------------------------------------------------------|
|  31 | IfStmt ->  if ( Expr ) Stmt ElsePart                   |
|-----|--------------------------------------------------------|
|  32 | ElsePart ->  else Stmt                                 |
|-----|--------------------------------------------------------|
|  33 | ElsePart -> ε                                          |
|-----|--------------------------------------------------------|
|  34 | CompoundStmt  -> { StmtList }                          |
|-----|--------------------------------------------------------|
|  35 | StmtList -> Stmt StmtListLinha                         |
|-----|--------------------------------------------------------|
|  36 | StmtList -> ε                                          |
|-----|--------------------------------------------------------|
|  37 | StmtListLinha -> Stmt StmtListLinha                    |
|-----|--------------------------------------------------------|
|  38 | StmtListLinha -> ε                                     |
|-----|--------------------------------------------------------|
|  39 | Expr ->  identifier = Expr                             |
|-----|--------------------------------------------------------|
|  40 | Expr -> Rvalue                                         |
|-----|--------------------------------------------------------|
|  41 | Rvalue -> Rvalue Compare Mag                           |  
|-----|--------------------------------------------------------|
|  42 | Rvalue -> Mag                                          |
|-----|--------------------------------------------------------|
|  43 | Compare ->  ==                                         |
|-----|--------------------------------------------------------|
|  44 | Compare -> <                                           |
|-----|--------------------------------------------------------|
|  45 | Compare -> >                                           |
|-----|--------------------------------------------------------|
|  46 | Compare -> <=                                          |
|-----|--------------------------------------------------------|
|  47 | Compare -> >=                                          |
|-----|--------------------------------------------------------|
|  48 | Compare -> !=                                          |
|-----|--------------------------------------------------------|
|  49 | Mag -> Mag + Term                                      |
|-----|--------------------------------------------------------| 
|  50 | Mag -> Mag - Term                                      |
|-----|--------------------------------------------------------|
|  51 | Mag ->  Term                                           |
|-----|--------------------------------------------------------|
|  52 | Term -> Term * Factor                                  |
|-----|--------------------------------------------------------|
|  53 | Term -> Term / Factor                                  |
|-----|--------------------------------------------------------|
|  54 | Term -> Factor                                         |
|-----|--------------------------------------------------------|
|  55 | Factor ->  ( Expr )                                    |
|-----|--------------------------------------------------------|
|  56 | Factor -> - Factor                                     |
|-----|--------------------------------------------------------|
|  57 | Factor -> + Factor                                     |
|-----|--------------------------------------------------------|
|  58 | Factor -> identifier                                   |
|-----|--------------------------------------------------------|
|  59 | Factor -> number                                       |
|-----|--------------------------------------------------------|
|  60 | Factor -> identifier ( IdentListLinha )                |
|-----|--------------------------------------------------------|
