|-----|--------------------------------------------------------|
| ID  |  REGRA                                                 |
|-----|--------------------------------------------------------|
|  1  |  Program -> FunctionList                               |
|-----|--------------------------------------------------------|
|  2  |  FunctionList  ->  Function FunctionList               |                                    
|-----|--------------------------------------------------------| 
|  3  |  FunctionList  ->  Function                            |                                    
|-----|--------------------------------------------------------| 
|  4  |  Function ->  Type identifier ( ArgList ) CompoundStmt |  
|-----|--------------------------------------------------------|
|  5  | ArgList  -> Arg ArgListLinha                           |
|-----|--------------------------------------------------------|
|  6  | ArgListLinha ->  , Arg ArgListLinha                    |               
|-----|--------------------------------------------------------|
|  7  | ArgListLinha -> ε                                      |
|-----|--------------------------------------------------------|
|  8  | Arg ->  Type identifier                                |
|-----|--------------------------------------------------------|
|  9  | Declaration ->  Type IdentList ;                       |
|-----|--------------------------------------------------------|
|  10 |  Type ->  int                                          |
|-----|--------------------------------------------------------| 
|  11 | Type -> float                                          |
|-----|--------------------------------------------------------|
|  12 | Type -> char                                           |
|-----|--------------------------------------------------------|
|  13 |  IdentList ->  identifier , IdentList                  |               
|-----|--------------------------------------------------------|
| 14  | IdentList ->  identifier                               |
|-----|--------------------------------------------------------|
| 15  | Stmt -> ForStmt                                        |
|-----|--------------------------------------------------------|
| 16  | Stmt -> WhileStmt                                      |
|-----|--------------------------------------------------------|
| 17  | Stmt -> Expr ;                                         |
|-----|--------------------------------------------------------|
| 18  | Stmt -> IfStmt                                         |
|-----|--------------------------------------------------------|
| 19  | Stmt -> CompoundStmt                                   |
|-----|--------------------------------------------------------|
| 20  | Stmt -> Declaration                                    |
|-----|--------------------------------------------------------|
| 21  | Stmt -> ;                                              |
|-----|--------------------------------------------------------|
| 22  | ForStmt ->  for ( Expr ; OptExpr ; OptExpr ) Stmt      |
|-----|--------------------------------------------------------|
| 23  | OptExpr ->  Expr                                       |
|-----|--------------------------------------------------------|
| 24  | OptExpr ->  ε                                          |
|-----|--------------------------------------------------------|
| 25  | WhileStmt ->  while ( Expr ) Stmt                      |
|-----|--------------------------------------------------------|
| 26  | IfStmt ->  if ( Expr ) Stmt ElsePart                   |
|-----|--------------------------------------------------------|
| 27  | ElsePart ->  else Stmt                                 |
|-----|--------------------------------------------------------|
| 28  | ElsePart -> ε                                          |
|-----|--------------------------------------------------------|
| 29  | CompoundStmt  -> { StmtList }                          |
|-----|--------------------------------------------------------|
| 30  | StmtList -> Stmt StmtListLinha                         |
|-----|--------------------------------------------------------|
| 31  | StmtList -> ε                                          |
|-----|--------------------------------------------------------|
| 32  | StmtListLinha -> Stmt StmtListLinha                    |
|-----|--------------------------------------------------------|
| 33  | StmtListLinha -> ε                                     |
|-----|--------------------------------------------------------|
| 34  | Expr ->  identifier = Expr                             |
|-----|--------------------------------------------------------|
| 35  | Expr -> Rvalue                                         |
|-----|--------------------------------------------------------|
| 36  | Rvalue -> Rvalue Compare Mag                           |  
|-----|--------------------------------------------------------|
| 37  | Rvalue -> Mag                                          |
|-----|--------------------------------------------------------|
| 38  | Compare ->  ==                                         |
|-----|--------------------------------------------------------|
| 39  | Compare -> <                                           |
|-----|--------------------------------------------------------|
| 40  | Compare -> >                                           |
|-----|--------------------------------------------------------|
| 41  | Compare -> <=                                          |
|-----|--------------------------------------------------------|
| 42  | Compare -> >=                                          |
|-----|--------------------------------------------------------|
| 43  | Compare -> !=                                          |
|-----|--------------------------------------------------------|
| 44  | Mag -> Mag + Term                                      |
|-----|--------------------------------------------------------| 
| 45  | Mag -> Mag - Term                                      |
|-----|--------------------------------------------------------|
| 46  | Mag ->  Term                                           |
|-----|--------------------------------------------------------|
| 47  | Term -> Term * Factor                                  |
|-----|--------------------------------------------------------|
| 48  | Term -> Term / Factor                                  |
|-----|--------------------------------------------------------|
| 49  | Term -> Factor                                         |
|-----|--------------------------------------------------------|
| 50  | Factor ->  ( Expr )                                    |
|-----|--------------------------------------------------------|
| 51  | Factor -> - Factor                                     |
|-----|--------------------------------------------------------|
| 52  | Factor -> + Factor                                     |
|-----|--------------------------------------------------------|
| 53  | Factor -> identifier                                   |
|-----|--------------------------------------------------------|
| 54  | Factor -> number                                       |
|-----|--------------------------------------------------------|
